genotype,replicate,time,value,file,sheet,assay
Control,3,0.6030327999999999,24.81326,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,4,0.6030327999999999,26.4,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,5,0.6030327999999999,13.78,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,6,0.6030327999999999,77.24,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,1,0.6030327999999999,52.13769,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,2,0.6030327999999999,4.6478935,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,3,0.6030327999999999,20.41458,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,4,0.6030327999999999,25.45,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,5,0.6030327999999999,2.99,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,6,0.6030327999999999,23.9,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,1,0.6030327999999999,10.0007816,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,2,0.6030327999999999,2.21117967,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,3,0.6030327999999999,1.92232467,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,6,0.6030327999999999,4.07,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,7,0.6030327999999999,-1.22,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,8,0.6030327999999999,1.69,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,1,0.7464709,25.77071,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,2,0.7464709,9.866216,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,3,0.7464709,24.90163,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,4,0.7464709,26.27,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,5,0.7464709,18.67,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,6,0.7464709,112.48,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,1,0.7464709,51.12605,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,2,0.7464709,4.2758645,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,3,0.7464709,19.42503,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,4,0.7464709,14.97,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,5,0.7464709,1.13,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,6,0.7464709,24.54,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,1,0.7464709,10.0616752,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,2,0.7464709,1.07067256,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,3,0.7464709,2.1502146,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,6,0.7464709,-25.73,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,7,0.7464709,2.45,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,8,0.7464709,-1.93,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,1,0.8919116833333334,74.95155,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,2,0.8919116833333334,49.75511,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,3,0.8919116833333334,104.1389,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,1,0.8919116833333334,79.13121,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,2,0.8919116833333334,7.0711745,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,3,0.8919116833333334,67.8645,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,1,0.8919116833333334,0.0,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,2,0.8919116833333334,1.04078078,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,3,0.8919116833333334,2.0801106,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,1,1.0353778333333332,76.78953,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,2,1.0353778333333332,52.64742,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,3,1.0353778333333332,103.5484,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,1,1.0353778333333332,89.43892,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,2,1.0353778333333332,5.4713695,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,3,1.0353778333333332,67.11207,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,1,1.0353778333333332,0.0,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,2,1.0353778333333332,1.93684033,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,3,1.0353778333333332,1.2443488,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,1,1.1789985166666668,71.75435,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,2,1.1789985166666668,51.75819,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,3,1.1789985166666668,98.80938,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,1,1.1789985166666668,87.75907,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,2,1.1789985166666668,5.292963,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,3,1.1789985166666668,64.94002,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,1,1.1789985166666668,0.0,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,2,1.1789985166666668,1.10994467,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,3,1.1789985166666668,1.86686175,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,1,1.3243802666666666,5.107276,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,2,1.3243802666666666,5.630063,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,3,1.3243802666666666,12.18708,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,1,1.3243802666666666,13.80996,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,2,1.3243802666666666,6.4072895,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,3,1.3243802666666666,9.919436,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,1,1.3243802666666666,1.577822,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,2,1.3243802666666666,1.665366,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,3,1.3243802666666666,1.66213667,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,1,1.4682672833333332,7.626008,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,2,1.4682672833333332,4.1277,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,3,1.4682672833333332,12.36316,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,1,1.4682672833333332,15.63765,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,2,1.4682672833333332,5.4028595,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,3,1.4682672833333332,10.9481,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,1,1.4682672833333332,1.521012,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,2,1.4682672833333332,1.82328378,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,3,1.4682672833333332,2.09123333,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,1,1.6117363500000002,9.512089,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,2,1.6117363500000002,4.870691,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,3,1.6117363500000002,12.11479,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,1,1.6117363500000002,14.61559,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,2,1.6117363500000002,5.5312715,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40 + cESA,3,1.6117363500000002,9.502396,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,1,1.6117363500000002,0.0,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,2,1.6117363500000002,1.41435678,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
NF-56-EJ40,3,1.6117363500000002,1.605799,aec8873_data_s11.xlsx,SF6D,OCR_antagonist_agonist
Control,1,0.025885366666666666,9.34279211,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,2,0.025885366666666666,7.221605,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,3,0.025885366666666666,11.25157,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,1,0.025885366666666666,11.78851,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,2,0.025885366666666666,0.0,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,3,0.025885366666666666,10.57725,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,1,0.025885366666666666,0.7236558,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,2,0.025885366666666666,0.8212342,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,3,0.025885366666666666,1.66941267,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,1,0.169761,9.34415967,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,2,0.169761,7.154999,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,3,0.169761,11.20838,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,1,0.169761,11.55657,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,2,0.169761,0.760091,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,3,0.169761,9.847299,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,1,0.169761,0.5915125,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,2,0.169761,0.4084976,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,3,0.169761,1.45793867,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,1,0.31376526666666665,9.86625144,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,2,0.31376526666666665,6.560863,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,3,0.31376526666666665,11.30031,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,1,0.31376526666666665,11.80116,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,2,0.31376526666666665,0.100531,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,3,0.31376526666666665,9.983429,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,1,0.31376526666666665,1.32170767,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,2,0.31376526666666665,0.59653167,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,3,0.31376526666666665,0.904671,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,1,0.45933475,14.7339182,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,2,0.45933475,10.59265,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,3,0.45933475,17.85556,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,1,0.45933475,18.33856,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,2,0.45933475,1.179703,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,3,0.45933475,14.43193,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,1,0.45933475,1.1598155,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,2,0.45933475,0.27914117,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,3,0.45933475,1.1014368,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,1,0.6030327999999999,14.8664296,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,2,0.6030327999999999,10.70177,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,3,0.6030327999999999,18.32417,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,1,0.6030327999999999,18.31578,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,2,0.6030327999999999,0.401879,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,3,0.6030327999999999,14.30375,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,1,0.6030327999999999,0.45014475,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,2,0.6030327999999999,0.191668,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,3,0.6030327999999999,1.38297625,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,1,0.7464709,15.995048,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,2,0.7464709,11.21941,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,3,0.7464709,18.52805,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,1,0.7464709,19.11728,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,2,0.7464709,0.726243,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,3,0.7464709,14.00964,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,1,0.7464709,0.97561917,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,2,0.7464709,0.53166857,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,3,0.7464709,1.0263286,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,1,0.8919116833333334,16.5294069,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,2,0.8919116833333334,11.10333,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,3,0.8919116833333334,18.8417,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,1,0.8919116833333334,18.80782,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,2,0.8919116833333334,1.276902,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,3,0.8919116833333334,14.17469,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,1,0.8919116833333334,0.6627536,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,2,0.8919116833333334,0.86933,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,3,0.8919116833333334,0.936718,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,1,1.0353778333333332,16.1810046,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,2,1.0353778333333332,10.53517,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,3,1.0353778333333332,17.87476,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,1,1.0353778333333332,18.19939,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,2,1.0353778333333332,1.458486,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,3,1.0353778333333332,13.25093,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,1,1.0353778333333332,0.82003533,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,2,1.0353778333333332,0.43859329,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,3,1.0353778333333332,0.7815626,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,1,1.1789985166666668,15.7826067,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,2,1.1789985166666668,10.14369,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,3,1.1789985166666668,17.54629,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,1,1.1789985166666668,18.10986,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,2,1.1789985166666668,0.345628,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,3,1.1789985166666668,13.08794,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,1,1.1789985166666668,0.67150725,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,2,1.1789985166666668,0.3012924,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,3,1.1789985166666668,0.91012671,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,1,1.3243802666666666,14.9747251,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,2,1.3243802666666666,10.615,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,3,1.3243802666666666,16.54491,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,1,1.3243802666666666,17.57201,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,2,1.3243802666666666,1.304937,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,3,1.3243802666666666,12.21661,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,1,1.3243802666666666,0.7075734,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,2,1.3243802666666666,0.3258592,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,3,1.3243802666666666,0.87170686,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,1,1.4682672833333332,14.890308,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,2,1.4682672833333332,9.870532,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,3,1.4682672833333332,15.99303,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,1,1.4682672833333332,17.52981,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,2,1.4682672833333332,0.215082,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,3,1.4682672833333332,11.96597,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,1,1.4682672833333332,1.3206072,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,2,1.4682672833333332,0.4894392,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,3,1.4682672833333332,0.81045129,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,1,1.6117363500000002,14.37934,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,2,1.6117363500000002,9.5868,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
Control,3,1.6117363500000002,15.59074,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,1,1.6117363500000002,16.76245,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,2,1.6117363500000002,0.302281,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40 + cESA,3,1.6117363500000002,12.17309,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,1,1.6117363500000002,0.4796335,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,2,1.6117363500000002,0.2189058,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
NF-56-EJ40,3,1.6117363500000002,0.9131252,aec8873_data_s11.xlsx,SF6E,ECAR_antagonist_agonist
